5.05,5.33,5.12,5.05,4.08,5.21,5.25,4.02,4.49,4.64,not-moving
15.45,15.24,15.35,15.4,15.44,15.36,15.58,16.22,16.31,15.86,not-moving
26.17,30.65,29.35,29.36,29.73,30.31,29.99,29.94,29.42,26.9,not-moving
78.59,235.64,62.53,75.39,88.41,93.63,95.76,83.22,80.86,76.09,not-moving
39.12,38.54,37.88,38.71,38.45,38.18,37.46,38.26,38.83,41.1,not-moving
219.08,243.89,194.58,171.1,193.48,73.73,142.6,124.83,109.65,85.71,moving-towards-slowly
254,128.65,125.63,152.23,144.58,254.05,85.72,122.78,131.47,117.89,moving-towards-slowly
676.23,97.95,210.56,169.88,90.26,151.98,127.52,88.99,103.64,91.36,moving-towards-slowly
168.84,206.93,156.18,135.55,122.89,110.24,99.31,88.28,76.1,60.41,moving-towards-slowly
156.74,148.52,139.78,127.74,117.81,101.14,84.46,75.36,68.22,58.2,moving-towards-slowly
190.38,183.66,187.17,179.62,302.39,66.44,25.73,8.37,8.24,6.48,moving-towards-fast
172.24,192.88,208.4,455.22,84.53,132.63,138.24,56.39,16.13,8.41,moving-towards-fast
378.47,187.11,116.69,233.12,124.33,88.76,49.4,12.62,9.63,7.09,moving-towards-fast
252.53,151.75,217.41,253.3,78.58,86.66,36.33,21.49,194.15,6.2,moving-towards-fast
181.08,223.66,169.38,136.85,527.46,86.91,42.39,14.47,19.81,15.63,moving-towards-fast
21.21,34.33,49.64,60.94,75.28,97.66,108.49,124.83,150.93,190.73,moving-away-slowly
26.95,50.52,70.93,91.88,111.69,118.94,139.24,164.25,203.47,1152.66,moving-away-slowly
25.96,19.25,21.11,23.58,51.38,66.61,82.8,91.79,212.76,116.77,moving-away-slowly
335.99,41.4,67.94,88.18,84.68,125.58,133.23,147.18,177.76,194.93,moving-away-slowly
21.8,35.48,52.69,68.51,86.71,109.74,396.72,103.97,160.54,173.65,moving-away-slowly
10.55,13.68,13.64,27.08,93.34,163.4,271.25,96.51,438.76,340.08,moving-away-fast
27.79,696.51,27.23,25.31,40.88,103.48,150.45,190.71,956.1,662.54,moving-away-fast
28.25,24.96,25.2,39.63,101.28,147.74,197.11,91.86,89.57,1206.55,moving-away-fast
149.22,14.77,14.96,35.08,87.42,140.31,190.07,219.23,850.25,226.38,moving-away-fast
16.18,14.12,14.65,14.96,19.29,105.24,112.83,252.98,440.88,241.21,moving-away-fast
